code,validated_type,validated_label,validated_severity,needs_review
"Feature: webdav-related

	Background:

		Given using api version ""1""



	Scenario: moving a file old way

		Given using dav path ""remote.php/webdav""

		And As an ""admin""

		And user ""user0"" exists

		When User ""user0"" moves file ""/textfile0.txt"" to ""/FOLDER/textfile0.txt""

		Then the HTTP status code should be ""201""



	Scenario: download a file with range

		Given using dav path ""remote.php/webdav""

		And As an ""admin""

		When Downloading file ""/welcome.txt"" with range ""bytes=52-78""

		Then Downloaded content should be ""example file for developers""



	Scenario: Upload forbidden if quota is 0

		Given using dav path ""remote.php/webdav""

		And As an ""admin""

		And user ""user0"" exists

		And user ""user0"" has a quota of ""0""

		When User ""user0"" uploads file ""data/textfile.txt"" to ""/asdf.txt""

		Then the HTTP status code should be ""507""



	Scenario: Retrieving folder quota when no quota is set

		Given using dav path ""remote.php/webdav""

		And As an ""admin""

		And user ""user0"" exists

		When user ""user0"" has unlimited quota

		Then as ""user0"" gets properties of folder ""/"" with

		  |{DAV:}quota-available-bytes|

		And the single response should contain a property ""{DAV:}quota-available-bytes"" with value ""-3""



	Scenario: Retrieving folder quota when quota is set

		Given using dav path ""remote.php/webdav""

		And As an ""admin""

		And user ""user0"" exists

		When user ""user0"" has a quota of ""10 MB""

		Then as ""user0"" gets properties of folder ""/"" with

		  |{DAV:}quota-available-bytes|

		And the single response should contain a property ""{DAV:}quota-available-bytes"" with value ""10485428""



	Scenario: Retrieving folder quota of shared folder with quota when no quota is set for recipient

		Given using dav path ""remote.php/webdav""

		And As an ""admin""

		And user ""user0"" exists

		And user ""user1"" exists

		And user ""user0"" has unlimited quota

		And user ""user1"" has a quota of ""10 MB""

		And As an ""user1""

		And user ""user1"" created a folder ""/testquota""

		And as ""user1"" creating a share with

		  | path | testquota |

		  | shareType | 0 |

		  | permissions | 31 |

		  | shareWith | user0 |

		Then as ""user0"" gets properties of folder ""/testquota"" with

		  |{DAV:}quota-available-bytes|

		And the single response should contain a property ""{DAV:}quota-available-bytes"" with value ""10485428""



	Scenario: download a public shared file with range

		Given user ""user0"" exists

		And As an ""user0""

		When creating a share with

			| path | welcome.txt |

			| shareType | 3 |

		And Downloading last public shared file with range ""bytes=52-78""

		Then Downloaded content should be ""example file for developers""



	Scenario: Downloading a file on the old endpoint should serve security headers

		Given using dav path ""remote.php/webdav""

		And As an ""admin""

		When Downloading file ""/welcome.txt""

		Then The following headers should be set

			|Content-Disposition|attachment; filename*=UTF-8''welcome.txt; filename=""welcome.txt""|

			|Content-Security-Policy|default-src 'self'; script-src 'self' 'unsafe-eval'; style-src 'self' 'unsafe-inline'; frame-src *; img-src * data: blob:; font-src 'self' data:; media-src *; connect-src *|

			|X-Content-Type-Options |nosniff|

			|X-Download-Options|noopen|

			|X-Frame-Options|Sameorigin|

			|X-Permitted-Cross-Domain-Policies|none|

			|X-Robots-Tag|none|

			|X-XSS-Protection|1; mode=block|

		And Downloaded content should start with ""Welcome to your Nextcloud account!""



	Scenario: Downloading a file on the new endpoint should serve security headers

		Given using dav path ""remote.php/dav/files/admin/""

		And As an ""admin""

		When Downloading file ""/welcome.txt""

		Then The following headers should be set

			|Content-Disposition|attachment; filename*=UTF-8''welcome.txt; filename=""welcome.txt""|

			|Content-Security-Policy|default-src 'self'; script-src 'self' 'unsafe-eval'; style-src 'self' 'unsafe-inline'; frame-src *; img-src * data: blob:; font-src 'self' data:; media-src *; connect-src *|

			|X-Content-Type-Options |nosniff|

			|X-Download-Options|noopen|

			|X-Frame-Options|Sameorigin|

			|X-Permitted-Cross-Domain-Policies|none|

			|X-Robots-Tag|none|

			|X-XSS-Protection|1; mode=block|

		And Downloaded content should start with ""Welcome to your Nextcloud account!""



	Scenario: Doing a GET with a web login should work without CSRF token on the new backend

		Given Logging in using web as ""admin""

		When Sending a ""GET"" to ""/remote.php/dav/files/admin/welcome.txt"" without requesttoken

		Then Downloaded content should start with ""Welcome to your Nextcloud account!""

		Then the HTTP status code should be ""200""



	Scenario: Doing a GET with a web login should work with CSRF token on the new backend

		Given Logging in using web as ""admin""

		When Sending a ""GET"" to ""/remote.php/dav/files/admin/welcome.txt"" with requesttoken

		Then Downloaded content should start with ""Welcome to your Nextcloud account!""

		Then the HTTP status code should be ""200""



	Scenario: Doing a PROPFIND with a web login should not work without CSRF token on the new backend

		Given Logging in using web as ""admin""

		When Sending a ""PROPFIND"" to ""/remote.php/dav/files/admin/welcome.txt"" without requesttoken

		Then the HTTP status code should be ""401""



	Scenario: Doing a PROPFIND with a web login should work with CSRF token on the new backend

		Given Logging in using web as ""admin""

		When Sending a ""PROPFIND"" to ""/remote.php/dav/files/admin/welcome.txt"" with requesttoken

		Then the HTTP status code should be ""207""



	Scenario: Doing a GET with a web login should work without CSRF token on the old backend

		Given Logging in using web as ""admin""

		When Sending a ""GET"" to ""/remote.php/webdav/welcome.txt"" without requesttoken

		Then Downloaded content should start with ""Welcome to your Nextcloud account!""

		Then the HTTP status code should be ""200""



	Scenario: Doing a GET with a web login should work with CSRF token on the old backend

		Given Logging in using web as ""admin""

		When Sending a ""GET"" to ""/remote.php/webdav/welcome.txt"" with requesttoken

		Then Downloaded content should start with ""Welcome to your Nextcloud account!""

		Then the HTTP status code should be ""200""



	Scenario: Doing a PROPFIND with a web login should not work without CSRF token on the old backend

		Given Logging in using web as ""admin""

		When Sending a ""PROPFIND"" to ""/remote.php/webdav/welcome.txt"" without requesttoken

		Then the HTTP status code should be ""401""



	Scenario: Doing a PROPFIND with a web login should work with CSRF token on the old backend

		Given Logging in using web as ""admin""

		When Sending a ""PROPFIND"" to ""/remote.php/webdav/welcome.txt"" with requesttoken

		Then the HTTP status code should be ""207""



	Scenario: Upload chunked file asc

		Given user ""user0"" exists

		And user ""user0"" uploads chunk file ""1"" of ""3"" with ""AAAAA"" to ""/myChunkedFile.txt""

		And user ""user0"" uploads chunk file ""2"" of ""3"" with ""BBBBB"" to ""/myChunkedFile.txt""

		And user ""user0"" uploads chunk file ""3"" of ""3"" with ""CCCCC"" to ""/myChunkedFile.txt""

		When As an ""user0""

		And Downloading file ""/myChunkedFile.txt""

		Then Downloaded content should be ""AAAAABBBBBCCCCC""



	Scenario: Upload chunked file desc

		Given user ""user0"" exists

		And user ""user0"" uploads chunk file ""3"" of ""3"" with ""CCCCC"" to ""/myChunkedFile.txt""

		And user ""user0"" uploads chunk file ""2"" of ""3"" with ""BBBBB"" to ""/myChunkedFile.txt""

		And user ""user0"" uploads chunk file ""1"" of ""3"" with ""AAAAA"" to ""/myChunkedFile.txt""

		When As an ""user0""

		And Downloading file ""/myChunkedFile.txt""

		Then Downloaded content should be ""AAAAABBBBBCCCCC""



	Scenario: Upload chunked file random

		Given user ""user0"" exists

		And user ""user0"" uploads chunk file ""2"" of ""3"" with ""BBBBB"" to ""/myChunkedFile.txt""

		And user ""user0"" uploads chunk file ""3"" of ""3"" with ""CCCCC"" to ""/myChunkedFile.txt""

		And user ""user0"" uploads chunk file ""1"" of ""3"" with ""AAAAA"" to ""/myChunkedFile.txt""

		When As an ""user0""

		And Downloading file ""/myChunkedFile.txt""

		Then Downloaded content should be ""AAAAABBBBBCCCCC""



	Scenario: A file that is not shared does not have a share-types property

		Given user ""user0"" exists

		And user ""user0"" created a folder ""/test""

		When as ""user0"" gets properties of folder ""/test"" with

			|{http://owncloud.org/ns}share-types|

		Then the response should contain an empty property ""{http://owncloud.org/ns}share-types""



	Scenario: A file that is shared to a user has a share-types property

		Given user ""user0"" exists

		And user ""user1"" exists

		And user ""user0"" created a folder ""/test""

		And as ""user0"" creating a share with

			| path | test |

			| shareType | 0 |

			| permissions | 31 |

			| shareWith | user1 |

		When as ""user0"" gets properties of folder ""/test"" with

			|{http://owncloud.org/ns}share-types|

		Then the response should contain a share-types property with

			| 0 |



	Scenario: A file that is shared to a group has a share-types property

		Given user ""user0"" exists

		And group ""group1"" exists

		And user ""user0"" created a folder ""/test""

		And as ""user0"" creating a share with

			| path | test |

			| shareType | 1 |

			| permissions | 31 |

			| shareWith | group1 |

		When as ""user0"" gets properties of folder ""/test"" with

			|{http://owncloud.org/ns}share-types|

		Then the response should contain a share-types property with

			| 1 |



	Scenario: A file that is shared by link has a share-types property

		Given user ""user0"" exists

		And user ""user0"" created a folder ""/test""

		And as ""user0"" creating a share with

			| path | test |

			| shareType | 3 |

			| permissions | 31 |

		When as ""user0"" gets properties of folder ""/test"" with

			|{http://owncloud.org/ns}share-types|

		Then the response should contain a share-types property with

			| 3 |



	Scenario: A file that is shared by user,group and link has a share-types property

		Given user ""user0"" exists

		And user ""user1"" exists

		And group ""group2"" exists

		And user ""user0"" created a folder ""/test""

		And as ""user0"" creating a share with

			| path        | test  |

			| shareType   | 0     |

			| permissions | 31    |

			| shareWith   | user1 |

		And as ""user0"" creating a share with

			| path        | test  |

			| shareType   | 1     |

			| permissions | 31    |

			| shareWith   | group2 |

		And as ""user0"" creating a share with

			| path        | test  |

			| shareType   | 3     |

			| permissions | 31    |

		When as ""user0"" gets properties of folder ""/test"" with

			|{http://owncloud.org/ns}share-types|

		Then the response should contain a share-types property with

			| 0 |

			| 1 |

			| 3 |





	Scenario: Copying files into a folder with edit permissions

		Given using dav path ""remote.php/webdav""

		And user ""user0"" exists

		And user ""user1"" exists

		And As an ""user1""

		And user ""user1"" created a folder ""/testcopypermissionsAllowed""

		And as ""user1"" creating a share with

			| path | testcopypermissionsAllowed |

			| shareType | 0 |

			| permissions | 31 |

			| shareWith | user0 |

		And User ""user0"" uploads file with content ""copytest"" to ""/copytest.txt""

		When User ""user0"" copies file ""/copytest.txt"" to ""/testcopypermissionsAllowed/copytest.txt""

		Then the HTTP status code should be ""201""





	Scenario: Copying files into a folder without edit permissions

		Given using dav path ""remote.php/webdav""

		And user ""user0"" exists

		And user ""user1"" exists

		And As an ""user1""

		And user ""user1"" created a folder ""/testcopypermissionsNotAllowed""

		And as ""user1"" creating a share with

			| path | testcopypermissionsNotAllowed |

			| shareType | 0 |

			| permissions | 1 |

			| shareWith | user0 |

		And User ""user0"" uploads file with content ""copytest"" to ""/copytest.txt""

		When User ""user0"" copies file ""/copytest.txt"" to ""/testcopypermissionsNotAllowed/copytest.txt""

		Then the HTTP status code should be ""403""",None,Non-Vulnerable,None,False
"else if (result < 0) {

	err = MSPACK_ERR_DATAFORMAT;

    }",None,Non-Vulnerable,None,False
else if (cmp < 0) { if (M) R = M - 1; else return 0; },None,Non-Vulnerable,None,False
"else if (x >= 0xC2 && x < 0xE0 && s < e) {				\

	c = (x & 0x1F) << 6 | (*s++ & 0x3F);				\

    }",None,Non-Vulnerable,None,False
"else if (x >= 0xE0 && x < 0xF0 && s+1 < e) {			\

	c = (x & 0x0F) << 12 | (s[0] & 0x3F) << 6 | (s[1] & 0x3F);	\

	s += 2;								\

    }",None,Non-Vulnerable,None,False
"else if (x >= 0xF0 && x <= 0xF5 && s+2 < e) {			\

	c = (x & 0x07) << 18 | (s[0] & 0x3F) << 12 |			\

	    (s[1] & 0x3F) << 6 | (s[2] & 0x3F);				\

	if (c > 0x10FFFF) c = 0xFFFD;					\

	s += 3;								\

    }",None,Non-Vulnerable,None,False
"static int chmd_error(struct mschm_decompressor *base) {

  struct mschm_decompressor_p *self = (struct mschm_decompressor_p *) base;

  return (self) ? self->error : MSPACK_ERR_ARGS;

}",None,Non-Vulnerable,None,False
"{

  ""name"": ""ibm_db"",

  ""description"": ""IBM DB2 and IBM Informix bindings for node"",

  ""version"": ""1.0.2"",

  ""main"": ""lib/odbc.js"",

  ""homepage"": ""https://github.com/ibmdb/node-ibm_db/"",

  ""repository"": {

    ""type"": ""git"",

    ""url"": ""git://github.com/ibmdb/node-ibm_db.git""

  },

  ""bugs"": {

    ""url"": ""https://github.com/ibmdb/node-ibm_db/issues""

  },

  ""contributors"": [

    ""IBM <opendev@us.ibm.com>""

  ],

  ""directories"": {

    ""example"": ""examples"",

    ""test"": ""test""

  },

  ""engines"": {

    ""node"": "">=0.10.0""

  },

  ""scripts"": {

    ""install"": ""node installer/driverInstall.js"",

    ""test"": ""cd test && node run-tests.js""

  },

  ""dependencies"": {

    ""bindings"": ""~1.2.1"",

    ""fstream"": ""~1.0.10"",

    ""nan"": ""~2.3.5"",

    ""q"": ""^1.4.1"",

    ""targz"": ""^1.0.1"",

    ""unzip"": ""~0.1.11""

  },

  ""keywords"": [

    ""node"",

    ""odbc"",

    ""db2"",

    ""driver""

  ],

  ""author"": ""IBM"",

  ""license"": ""MIT"",

  ""devDependencies"": {

    ""async"": ""^2.0.1"",

    ""bluebird"": ""^3.4.3"",

    ""moment"": ""^2.14.1""

  }

}",None,Non-Vulnerable,None,False
"function handleGetPhoto($token, $photo) {

  $owner = OC_Gallery_Sharing::getTokenOwner($token);

  $file = OCP\Config::getSystemValue( ""datadirectory"", OC::$SERVERROOT.""/data"" ).'/'.$owner.'/files'.urldecode($photo);

  header('Content-Type: '.OC_Image::getMimeTypeForFile($file));

  OCP\Response::sendFile($file);

}",None,Non-Vulnerable,None,False
"static av_cold int cdxl_decode_init(AVCodecContext *avctx)

{

    CDXLVideoContext *c = avctx->priv_data;



    c->new_video_size = 0;

    c->avctx          = avctx;



    return 0;

}",None,Non-Vulnerable,None,False
