code,language,safety,Unnamed: 3,Unnamed: 4,Unnamed: 5
"else if (sub_type == 1) {

        return jpg_decode_data(&c->jc, width, height, src, src_end - src,

                               dst, c->framebuf_stride, NULL, 0, 0, 0);

    }",c,vulnerable,,,
"static int g2m_init_buffers(G2MContext *c)

{

    int aligned_height;



    if (!c->framebuf || c->old_width < c->width || c->old_height < c->height) {

        c->framebuf_stride = FFALIGN(c->width * 3, 16);

        aligned_height     = FFALIGN(c->height,    16);

        av_free(c->framebuf);

        c->framebuf = av_mallocz(c->framebuf_stride * aligned_height);

        if (!c->framebuf)

            return AVERROR(ENOMEM);

    }

    if (!c->synth_tile || !c->jpeg_tile ||

        c->old_tile_w < c->tile_width ||

        c->old_tile_h < c->tile_height) {

        c->tile_stride = FFALIGN(c->tile_width * 3, 16);

        aligned_height = FFALIGN(c->tile_height,    16);

        av_free(c->synth_tile);

        av_free(c->jpeg_tile);

        av_free(c->kempf_buf);

        av_free(c->kempf_flags);

        c->synth_tile  = av_mallocz(c->tile_stride      * aligned_height);

        c->jpeg_tile   = av_mallocz(c->tile_stride      * aligned_height);

        c->kempf_buf   = av_mallocz((c->tile_width + 1) * aligned_height

                                    + FF_INPUT_BUFFER_PADDING_SIZE);

        c->kempf_flags = av_mallocz( c->tile_width      * aligned_height);

        if (!c->synth_tile || !c->jpeg_tile ||

            !c->kempf_buf || !c->kempf_flags)

            return AVERROR(ENOMEM);

    }



    return 0;

}",c,vulnerable,,,
"static int g2m_load_cursor(AVCodecContext *avctx, G2MContext *c,

                           GetByteContext *gb)

{

    int i, j, k;

    uint8_t *dst;

    uint32_t bits;

    uint32_t cur_size, cursor_w, cursor_h, cursor_stride;

    uint32_t cursor_hot_x, cursor_hot_y;

    int cursor_fmt;

    uint8_t *tmp;



    cur_size      = bytestream2_get_be32(gb);

    cursor_w      = bytestream2_get_byte(gb);

    cursor_h      = bytestream2_get_byte(gb);

    cursor_hot_x  = bytestream2_get_byte(gb);

    cursor_hot_y  = bytestream2_get_byte(gb);

    cursor_fmt    = bytestream2_get_byte(gb);



    cursor_stride = cursor_w * 4;



    if (cursor_w < 1 || cursor_w > 256 ||

        cursor_h < 1 || cursor_h > 256) {

        av_log(avctx, AV_LOG_ERROR, ""Invalid cursor dimensions %dx%d\n"",

               cursor_w, cursor_h);

        return AVERROR_INVALIDDATA;

    }",c,vulnerable,,,
"return AVERROR(ENOMEM);

    }



    c->cursor        = tmp;

    c->cursor_w      = cursor_w;

    c->cursor_h      = cursor_h;

    c->cursor_hot_x  = cursor_hot_x;

    c->cursor_hot_y  = cursor_hot_y;

    c->cursor_fmt    = cursor_fmt;

    c->cursor_stride = cursor_stride;



    dst = c->cursor;

    switch (c->cursor_fmt) {

    case 1: // old monochrome

        for (j = 0; j < c->cursor_h; j++) {

            for (i = 0; i < c->cursor_w; i += 32) {

                bits = bytestream2_get_be32(gb);

                for (k = 0; k < 32; k++) {

                    dst[0] = !!(bits & 0x80000000);

                    dst += 4;

                    bits <<= 1;

                }

            }",c,vulnerable,,,
"define APPLY_ALPHA(src, new, alpha) \

    src = (src * (256 - alpha) + new * alpha) >> 8



static void g2m_paint_cursor(G2MContext *c, uint8_t *dst, int stride)

{

    int i, j;

    int x, y, w, h;

    const uint8_t *cursor;



    if (!c->cursor)

        return;



    x = c->cursor_x - c->cursor_hot_x;

    y = c->cursor_y - c->cursor_hot_y;



    cursor = c->cursor;

    w      = c->cursor_w;

    h      = c->cursor_h;



    if (x + w > c->width)

        w = c->width - x;

    if (y + h > c->height)

        h = c->height - y;

    if (x < 0) {

        w      +=  x;

        cursor += -x * 4;

    }",c,vulnerable,,,
"static int g2m_decode_frame(AVCodecContext *avctx, void *data,

                            int *got_picture_ptr, AVPacket *avpkt)

{

    const uint8_t *buf = avpkt->data;

    int buf_size = avpkt->size;

    G2MContext *c = avctx->priv_data;

    AVFrame *pic = data;

    GetByteContext bc, tbc;

    int magic;

    int got_header = 0;

    uint32_t chunk_size;

    int chunk_type;

    int i;

    int ret;



    if (buf_size < 12) {

        av_log(avctx, AV_LOG_ERROR,

               ""Frame should have at least 12 bytes, got %d instead\n"",

               buf_size);

        return AVERROR_INVALIDDATA;

    }",c,vulnerable,,,
"return AVERROR(ENOSYS);

    }



    while (bytestream2_get_bytes_left(&bc) > 5) {

        chunk_size = bytestream2_get_le32(&bc) - 1;

        chunk_type = bytestream2_get_byte(&bc);

        if (chunk_size > bytestream2_get_bytes_left(&bc)) {

            av_log(avctx, AV_LOG_ERROR, ""Invalid chunk size %d type %02X\n"",

                   chunk_size, chunk_type);

            break;

        }",c,vulnerable,,,
"return AVERROR(ENOSYS);

            case COMPR_KEMPF_J_B:

                ret = kempf_decode_tile(c, c->tile_x, c->tile_y,

                                        buf + bytestream2_tell(&bc),

                                        chunk_size);

                break;

            }

            if (ret && c->framebuf)

                av_log(avctx, AV_LOG_ERROR, ""Error decoding tile %d,%d\n"",

                       c->tile_x, c->tile_y);

            bytestream2_skip(&bc, chunk_size);

            break;

        case CURSOR_POS:

            if (chunk_size < 5) {

                av_log(avctx, AV_LOG_ERROR, ""Invalid cursor pos size %d\n"",

                       chunk_size);

                break;

            }",c,vulnerable,,,
"static av_cold int g2m_decode_init(AVCodecContext *avctx)

{

    G2MContext * const c = avctx->priv_data;

    int ret;



    if ((ret = jpg_init(avctx, &c->jc)) != 0) {

        av_log(avctx, AV_LOG_ERROR, ""Cannot initialise VLCs\n"");

        jpg_free_context(&c->jc);

        return AVERROR(ENOMEM);

    }



    avctx->pix_fmt = AV_PIX_FMT_RGB24;



    return 0;

}",c,vulnerable,,,
"static av_cold int g2m_decode_end(AVCodecContext *avctx)

{

    G2MContext * const c = avctx->priv_data;



    jpg_free_context(&c->jc);



    av_freep(&c->kempf_buf);

    av_freep(&c->kempf_flags);

    av_freep(&c->synth_tile);

    av_freep(&c->jpeg_tile);

    av_freep(&c->cursor);

    av_freep(&c->framebuf);



    return 0;

}",c,vulnerable,,,
"/* vim: set expandtab sw=4 ts=4 sts=4: */

/**

 * Conditionally included if third-party framing is not allowed

 *

 */



try {

    if (top != self) {

        top.location.href = self.location.href;

    }

} catch(e) {

    alert(""Redirecting... (error: "" + e);

    top.location.href = self.location.href;

}",js,safe,,,
